time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
14030330857.168022     6.663707743085815e+16  0.2                 -3832463.652516165  0.0                     3.020778450061031e+111  0.0                     609461102.9180034     
14639791960.086025     6.430133990630249e+16  0.2                 -4115948.025959508  0.0                     3.020778450061028e+111  0.0                     609461102.9180034     
15249253063.004028     6.1792829682848024e+16 0.2                 -4456908.94000447   0.0                     3.0207784500610334e+111 0.0                     609461102.9180034     
15858714165.922031     5.907651704466779e+16  0.2                 -4876184.863776874  0.0                     3.02077845006103e+111   0.0                     609461102.9180034     
16468175268.840034     5.610467203955827e+16  0.2                 -5406446.025497927  0.0                     3.0207784500610307e+111 0.0                     609461102.9180034     
17077636371.758038     5.280965348199165e+16  0.2                 -6102155.803421611  0.0                     3.0207784500610296e+111 0.0                     609461102.9180034     
17687097474.67604      4.909062687586082e+16  0.2                 -7061757.043106823  0.0                     3.0207784500610285e+111 0.0                     609461102.9180034     
18296558577.594044     4.478676063982995e+16  0.2                 -8484194.659213966  0.0                     3.020778450061029e+111  0.0                     609461102.9180034     
18800245439.50975      4.051338325604848e+16  0.2                 -10368427.679955492 0.0                     3.02077845006103e+111   0.0                     503686861.91570526    
19178672833.88669      3.65896861853372e+16   0.2                 -12711375.794411862 0.0                     3.0207784500610296e+111 0.0                     378427394.37693846    
19462990936.3487       3.2975611939788464e+16 0.2                 -15650355.260805395 0.0                     3.02077845006103e+111   0.0                     284318102.4620123     
19657184025.93412      2.993642109858325e+16  0.2                 -18989353.067165963 0.0                     3.0207784500610296e+111 0.0                     194193089.58541918    
19803084168.37245      2.7165871781271972e+16 0.2                 -23060176.902411427 0.0                     3.0207784500610275e+111 0.0                     145900142.43833143    
19912701104.84002      2.4638085834829484e+16 0.2                 -28034705.606516756 0.0                     3.020778450061031e+111  0.0                     109616936.46756677    
19995057931.63759      2.2329236440872696e+16 0.2                 -34132035.04562346  0.0                     3.020778450061029e+111  0.0                     82356826.79757081     
20056933834.56589      2.0217285953644276e+16 0.2                 -41635541.76449163  0.0                     3.02077845006103e+111   0.0                     61875902.92830262     
20103422116.255074     1.8281721159814844e+16 0.2                 -50918519.357601136 0.0                     3.020778450061032e+111  0.0                     46488281.68918303     
20138349450.35664      1.6503273022254908e+16 0.2                 -62484134.523872636 0.0                     3.020778450061031e+111  0.0                     34927334.101564996    
20164590873.42318      1.4863600413267358e+16 0.2                 -77030352.43316689  0.0                     3.0207784500610296e+111 0.0                     26241423.066540185    
20182514118.465553     1.3482966530907256e+16 0.2                 -93613614.66023433  0.0                     3.02077845006103e+111   0.0                     17923245.04237428     
20195980117.746075     1.2222365663245512e+16 0.2                 -113919844.24112755 0.0                     3.0207784500610296e+111 0.0                     13465999.28052162     
20206097322.31446      1.1069815294659368e+16 0.2                 -138876632.99196428 0.0                     3.020778450061031e+111  0.0                     10117204.56838589     
20213698527.850437     1.0014185463142952e+16 0.2                 -169698759.3032727  0.0                     3.0207784500610285e+111 0.0                     7601205.535977376     
20219409426.07431      9045053120044132.0     0.2                 -208011662.1074394  0.0                     3.0207784500610285e+111 0.0                     5710898.223874811     
20223700108.43635      8152541150341184.0     0.2                 -256049497.87290606 0.0                     3.0207784500610296e+111 0.0                     4290682.362039677     
20226630702.22232      7402164082973932.0     0.2                 -310593606.8061549  0.0                     3.020778450061029e+111  0.0                     2930593.7859706823    
20228832500.709152     6718299549489079.0     0.2                 -377043275.7969934  0.0                     3.02077845006103e+111   0.0                     2201798.486829964     
20230486744.50091      6094578051277785.0     0.2                 -458165771.7129926  0.0                     3.02077845006103e+111   0.0                     1654243.7917580493    
20231729602.34596      5525143127572109.0     0.2                 -557471747.1638285  0.0                     3.020778450061031e+111  0.0                     1242857.8450473696    
20232663379.84036      5004588556306273.0     0.2                 -679474512.4578902  0.0                     3.0207784500610285e+111 0.0                     933777.4944007281     
20233364940.69265      4527895838235585.0     0.2                 -830074500.0951815  0.0                     3.020778450061031e+111  0.0                     701560.8522920571     
20233892033.74471      4090369336543114.5     0.2                 -1017149710.030445  0.0                     3.020778450061029e+111  0.0                     527093.0520601479     
20234288046.556175     3687565020192970.5     0.2                 -1251499136.787241  0.0                     3.0207784500610296e+111 0.0                     396012.81146517483    
20234558528.634903     3349056932148879.5     0.2                 -1517276973.601696  0.0                     3.020778450061029e+111  0.0                     270482.07872766524    
20234761745.824028     3040720170446845.0     0.2                 -1840589828.6216514 1.2106275654764838e-07  3.020778450061029e+111  0.0                     203217.18912672065    
20234767722.106125     3029720286408084.5     0.19970137915255268 -1853979202.1805518 -5.043846525013684e-08  3.0207784500610285e+111 4.2675800488706007e+111 5976.282095940035     
